Team,Player,Winnings 2025 Masters,2025 US Open,2025 PGA,2025 British Open,2025 Total,,Team,Total Winnings,Total Winnings
Josh Wiles,"Scheffler, Scottie","$1,008,000.00","$614,423.00","$3,420,000.00","$3,100,000.00","$8,142,423.00",,Josh Wiles,#REF!,"$9,844,826.11"
,"Lowry, Shane","$81,900.00",0,0,"$68,340.00","$150,240.00",,Ed Buckingham,"$4,031,286.99","$7,470,221.99"
,"Niemann, Joaquin","$142,800.00",0,"$454,781.11",0,"$597,581.11",,Jeff Churba,"$7,553,339.94","$7,428,252.58"
,"Bhatia, Akshay","$75,600.00",0,0,"$104,850.00","$180,450.00",,Joe Connors,"$5,705,637.22","$5,705,637.22"
,"Day, Jason","$588,000.00","$161,132.00",0,0,"$749,132.00",,David Bosco,"$2,568,139.72","$3,907,195.83"
,"Dunlap, Nick","$25,000.00",0,0,0,"$25,000.00",,Taylor Fyfe,"$514,014.25","$3,805,281.36"
Ed Buckingham,"McIlroy, Rory","$4,200,000.00","$242,532.00","$49,190.00","$451,833.00","$4,943,555.00",,,,
,"Henley, Russell","$25,000.00","$465,937.00",0,"$304,650.00","$795,587.00",,,,
,"Fleetwood, Tommy","$210,000.00",0,"$60,676.66","$185,257.00","$455,933.66",,,,
,"Straka, Sepp","$25,000.00",0,0,0,"$25,000.00",,,,
,"Bradley, Keegan","$25,000.00","$113,503.00","$454,781.11","$104,850.00","$698,134.11",,,,
,"Rai, Aaron","$158,550.00","$113,503.00","$193,442.22","$86,517.00","$552,012.22",,,,
Joe Connors,"Schauffele, Xander","$588,000.00","$348,967.00","$115,820.00","$451,833.00","$1,504,620.00",,,,
,"Hovland, Viktor","$210,000.00","$1,459,284.00","$115,820.00","$40,280.00","$1,825,384.00",,,,
,"Matsuyama, Hideki","$210,000.00","$72,943.00",0,"$185,257.00","$468,200.00",,,,
,"Clark, Wyndham","$25,000.00",0,"$40,674.00","$730,667.00","$796,341.00",,,,
,"Horschel, Billy","$25,000.00",0,0,0,"$25,000.00",,,,
,"Conners, Corey","$588,000.00",0,"$193,442.22","$304,650.00","$1,086,092.22",,,,
David Bosco,"Aberg, Ludvig","$703,500.00",0,0,0,"$703,500.00",,,,
,"Cantlay, Patrick","$101,063.00",0,0,0,"$101,063.00",,,,
,"Theegala, Sahith","$142,800.00",0,0,0,"$142,800.00",,,,
,"Lee, Min Woo","$59,535.00",0,0,0,"$59,535.00",,,,
,"McNealy, Maverick","$121,538.00","$101,379.00","$89,192.50","$138,040.00","$450,149.50",,,,
,"Fitzpatrick, Matt","$88,200.00","$90,408.00","$454,781.11","$730,667.00","$1,364,056.11",,,,
Jeff Churba,"DeChambeau, Bryson","$798,000.00",0,"$1,418,666.67","$304,650.00","$2,521,316.67",,,,
,"Thomas, Justin","$101,063.00",0,0,"$86,517.00","$187,580.00",,,,
,"MacIntyre, Robert","$25,000.00","$2,322,000.00","$49,190.00","$451,833.00","$2,848,023.00",,,,
,"Hojgaard, Nicolai","$121,538.00",0,"$60,676.66",0,"$182,214.66",,,,
,"Detry, Thomas","$51,660.00","$161,132.00",0,"$51,186.00","$263,978.00",,,,
,"Hatton, Tyrrell","$336,000.00","$876,869.00","$27,014.25","$185,257.00","$1,425,140.25",,,,
Taylor Fyfe,"Rahm, Jon","$336,000.00","$614,423.00","$454,781.11","$86,517.00","$1,491,721.11",,,,
,"Morikawa, Collin","$336,000.00","$161,132.00","$40,674.00",0,"$537,806.00",,,,
,"Im, Sungjae","$798,000.00","$45,423.00",0,"$44,350.00","$887,773.00",,,,
,"Koepka, Brooks","$25,000.00","$348,967.00",0,0,"$373,967.00",,,,
,"Smith, Cameron","$25,000.00",0,0,0,"$25,000.00",,,,
,"Homa, Max","$462,000.00",0,"$27,014.25",0,"$489,014.25",,,,