Pick Number,Draft Order,Team Name,Player
1,1,Wedgies,"Scheffler, Scottie"
2,2,Team Buckingham,"McIlroy, Rory"
3,3,Team Connors,"Schauffele, Xander"
4,4,Team Bosco,"Aberg, Ludvig"
5,5,Team Churba,"DeChambeau, Bryson"
6,6,Eat my new fade,"Rahm, Jon"
7,6,Eat my new fade,"Morikawa, Collin"
8,5,Team Churba,"Thomas, Justin"
9,4,Team Bosco,"Cantlay, Patrick"
10,3,Team Connors,"Hovland, Viktor"
11,2,Team Buckingham,"Henley, Russell"
12,1,Wedgies,"Lowry, Shane"
13,1,Wedgies,"Niemann, Joaquin"
14,2,Team Buckingham,"Fleetwood, Tommy"
15,3,Team Connors,"Matsuyama, Hideki"
16,4,Team Bosco,"Theegala, Sahith"
17,5,Team Churba,"MacIntyre, Robert"
18,6,Eat my new fade,"Im, Sungjae"
19,6,Eat my new fade,"Koepka, Brooks"
20,5,Team Churba,"Hojgaard, Nicolai"
21,4,Team Bosco,"Lee, Min Woo"
22,3,Team Connors,"Clark, Wyndham"
23,2,Team Buckingham,"Straka, Sepp"
24,1,Wedgies,"Bhatia, Akshay"
25,1,Wedgies,"Day, Jason"
26,2,Team Buckingham,"Bradley, Keegan"
27,3,Team Connors,"Horschel, Billy"
28,4,Team Bosco,"McNealy, Maverick"
29,5,Team Churba,"Detry, Thomas"
30,6,Eat my new fade,"Smith, Cameron"
31,6,Eat my new fade,"Homa, Max"
32,5,Team Churba,"Hatton, Tyrrell"
33,4,Team Bosco,"Fitzpatrick, Matt"
34,3,Team Connors,"Conners, Corey"
35,2,Team Buckingham,"Rai, Aaron"
36,1,Wedgies,"Dunlap, Nick"