Josh Wiles,Ed Buckingham,Joe Connors,David Bosco,Jeff Churba,Taylor Fyfe
"Scheffler, Scottie","McIlroy, Rory","Schauffele, Xander","Aberg, Ludvig","DeChambeau, Bryson","Rahm, Jon"
"Young, Cameron","Henley, Russell","Hovland, Viktor","Cantlay, Patrick","Thomas, Justin","Morikawa, Collin"
"Niemann, Joaquin","Fleetwood, Tommy","Matsuyama, Hideki","Theegala, Sahith","MacIntyre, Robert","Im, Sungjae"
"Bhatia, Akshay","Straka, Sepp","Clark, Wyndham","Reed, Patrick","Griffen, Ben","Koepka, Brooks"
"Day, Jason","Bradley, Keegan","Spaun, JJ","McNealy, Maverick","Detry, Thomas","Smith, Cameron"
"Dunlap, Nick","Rai, Aaron","Conners, Corey","Fitzpatrick, Matt","Hatton, Tyrrell","Gotterup, Chris"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Dropped,Added,,,,
"Lowry, Shane",Cameron Young,,,,
"Homa, Max",Chris Gotterup,,,,
"Lee, Min Woo",Patrick Reed,,,,
"Horschel, Billy",JJ Spaun,,,,
"Hojgaard, Nicolai",Ben Griffen,,,,